"","Species"
"1","Acinonyx jubatus"
"2","Addax nasomaculatus"
"3","Aetobatus narinari"
"4","Afrixalus lacteus"
"5","Afrocarpus dawei"
"6","Afropavo congensis"
"7","Alexteroon jynx"
"8","Alopias superciliosus"
"9","Alopias vulpinus"
"10","Ammotragus lervia"
"11","Aonyx capensis"
"12","Aonyx congicus"
"13","Aquila heliaca"
"14","Ardenna grisea"
"15","Ardeola idae"
"16","Ardeotis arabs"
"17","Ardeotis kori"
"18","Arlequinus krebsi"
"19","Arthroleptis bioko"
"20","Arthroleptis perreti"
"21","Astylosternus diadematus"
"22","Astylosternus fallax"
"23","Astylosternus laurenti"
"24","Astylosternus montanus"
"25","Astylosternus nganhanus"
"26","Astylosternus perreti"
"27","Astylosternus ranoides"
"28","Astylosternus rheophilus"
"29","Astylosternus schioetzi"
"30","Atya intermedia"
"31","Aythya nyroca"
"32","Balaeniceps rex"
"33","Balaenoptera borealis"
"34","Balaenoptera musculus"
"35","Balaenoptera physalus"
"36","Balearica pavonina"
"37","Balearica regulorum"
"38","Batis minima"
"39","Bradypterus bangwaensis"
"40","Bradypterus grandis"
"41","Bradypterus graueri"
"42","Bubo shelleyi"
"43","Bucorvus leadbeateri"
"44","Bugeranus carunculatus"
"45","Buteo oreophilus"
"46","Calidris subruficollis"
"47","Callixalus pictus"
"48","Caprimulgus prigoginei"
"49","Caracal aurata"
"50","Carcharhinus brachyurus"
"51","Carcharhinus brevipinna"
"52","Carcharhinus falciformis"
"53","Carcharhinus leucas"
"54","Carcharhinus limbatus"
"55","Carcharhinus longimanus"
"56","Carcharhinus plumbeus"
"57","Carcharhinus signatus"
"58","Carcharias taurus"
"59","Carcharodon carcharias"
"60","Cardioglossa alsco"
"61","Cardioglossa manengouba"
"62","Cardioglossa melanogaster"
"63","Cardioglossa nigromaculata"
"64","Cardioglossa oreas"
"65","Cardioglossa pulchra"
"66","Cardioglossa schioetzi"
"67","Cardioglossa trifasciata"
"68","Cardioglossa venusta"
"69","Caridina sodenensis"
"70","Centrophorus squamosus"
"71","Centroscymnus coelolepis"
"72","Ceratogymna elata"
"73","Ceratotherium simum"
"74","Cercocebus torquatus"
"75","Cercopithecus dryas"
"76","Cercopithecus erythrotis"
"77","Cercopithecus hamlyni"
"78","Cetorhinus maximus"
"79","Charadrius pallidus"
"80","Chlorocichla prigoginei"
"81","Chrysobatrachus cupreonitens"
