"","spScName"
"1","Abantis paradisea"
"2","Abantis tettensis"
"3","Abantis venosa"
"4","Ablennes hians"
"5","Abudefduf saxatilis"
"6","Abudefduf taurus"
"7","Abyssobrotula galatheae"
"8","Acada biseriata"
"9","Acalypha glabrata"
"10","Acalypha ornata"
"11","Acanthocercus cyanocephalus"
"12","Acanthonus armatus"
"13","Acanthoplus longipes"
"14","Acanthostracion guineensis"
"15","Acanthostracion notacanthus"
"16","Acanthurus monroviae"
"17","Acanthus montanus"
"18","Accipiter badius"
"19","Accipiter castanilius"
"20","Accipiter erythropus"
"21","Accipiter melanoleucus"
"22","Accipiter minullus"
"23","Accipiter ovampensis"
"24","Accipiter rufiventris"
"25","Accipiter tachiro"
"26","Accipiter toussenelii"
"27","Achaetops pycnopygius"
"28","Aciagrion africanum"
"29","Aciagrion gracile"
"30","Aciagrion macrootithenae"
"31","Aciagrion nodosum"
"32","Aciagrion rarum"
"33","Aciagrion zambiense"
"34","Acinonyx jubatus"
"35","Acisoma inflatum"
"36","Acisoma trifidum"
"37","Acleros mackenii"
"38","Acontias jappi"
"39","Acontias kgalagadi"
"40","Acontias occidentalis"
"41","Acraea acara"
"42","Acraea acrita"
"43","Acraea aglaonice"
"44","Acraea anemosa"
"45","Acraea axina"
"46","Acraea caldarena"
"47","Acraea caldarena ssp. caldarena"
"48","Acraea lygus"
"49","Acraea natalica"
"50","Acraea neobule"
"51","Acraea neobule ssp. neobule"
"52","Acraea oncaea"
"53","Acraea stenobea"
"54","Acraea violarum"
"55","Acrocephalus arundinaceus"
"56","Acrocephalus gracilirostris"
"57","Acrocephalus rufescens"
"58","Acrocephalus schoenobaenus"
"59","Acrocephalus scirpaceus"
"60","Acrophymus acuticercus"
"61","Acrophymus ocreatus"
"62","Acrophymus sigmoidalis"
"63","Acrostichum aureum"
"64","Acrostichum danaeifolium"
"65","Acroteriobatus blochii"
"66","Acrotylus patruelis"
"67","Actitis hypoleucos"
"68","Actizera lucida"
"69","Actophilornis africanus"
"70","Adenocarpus mannii"
"71","Adenolobus garipensis"
"72","Adenolobus pechuelii"
"73","Adenostemma caffrum"
"74","Adenostemma viscosum"
"75","Adiantum capillus-veneris"
"76","Aepyceros melampus"
"77","Aepyceros melampus ssp. melampus"
"78","Aepyceros melampus ssp. petersi"
"79","Aeschynomene afraspera"
"80","Aeschynomene angolensis"
"81","Aeschynomene crassicaulis"
"82","Aeschynomene elaphroxylon"
"83","Aeschynomene indica"
"84","Aeschynomene nilotica"
"85","Aeschynomene uniflora"
"86","Aethiothemis bequaerti"
"87","Aethiothemis mediofasciata"
"88","Aethiothemis solitaria"
"89","Aethomys bocagei"
"90","Aethomys chrysophilus"
"91","Aethomys kaiseri"
"92","Aethomys nyikae"
"93","Aethomys thomasi"
"94","Aethriamanta rezia"
