"","Threat","Count"
"3","Annual & perennial non-timber crops",248
"20","Logging & wood harvesting",188
"10","Fishing & harvesting aquatic resources",159
"16","Hunting & trapping terrestrial animals",136
"19","Livestock farming & ranching",107
"15","Housing & urban areas",98
"1","Agricultural & forestry effluents",50
"14","Habitat shifting & alteration",46
"18","Invasive non-native/alien species",41
"9","Fire & fire suppression",35
"5","Dams & water management/use",34
"22","Mining & quarrying",30
"27","Recreational activities",26
"17","Industrial & military effluents",25
"29","Roads & railroads",22
"38","Work & other activities",22
"26","Problematic native species",21
"7","Droughts",20
"36","War Civil Unrest & Military Exercises",20
"6","Domestic & urban waste water",17
"13","Gathering terrestrial plants",17
"37","Wood & pulp plantations",17
"24","Other ecosystem modifications",16
"33","Tourism & recreation areas",15
"23","Oil & gas drilling",14
"34","Utility & service lines",14
"4","Commercial & industrial areas",13
"32","Temperature extremes",12
"30","Shipping lanes",10
"28","Renewable energy",8
"31","Storms & flooding",6
"12","Garbage & solid waste",5
"21","Marine & freshwater aquaculture",5
"35","Volcanoes",4
"8","Excess energy",3
"25","Other impacts",3
"2","Air-borne pollutants",1
"11","Flight paths",1
