"","Species"
"1","Acanthastrea brevis"
"2","Acanthastrea faviaformis"
"3","Acanthastrea hemprichii"
"4","Acanthastrea hillae"
"5","Acanthastrea ishigakiensis"
"6","Acanthastrea lordhowensis"
"7","Acanthastrea maxima"
"8","Acanthastrea rotundoflora"
"9","Acanthastrea subechinata"
"10","Acanthopagrus vagus"
"11","Acinonyx jubatus"
"12","Acrocephalus griseldis"
"13","Acropora aculeus"
"14","Acropora acuminata"
"15","Acropora anthocercis"
"16","Acropora appressa"
"17","Acropora arabensis"
"18","Acropora austera"
"19","Acropora digitifera"
"20","Acropora divaricata"
"21","Acropora donei"
"22","Acropora echinata"
"23","Acropora florida"
"24","Acropora formosa"
"25","Acropora glauca"
"26","Acropora granulosa"
"27","Acropora hemprichii"
"28","Acropora horrida"
"29","Acropora humilis"
"30","Acropora hyacinthus"
"31","Acropora listeri"
"32","Acropora loripes"
"33","Acropora lovelli"
"34","Acropora microclados"
"35","Acropora millepora"
"36","Acropora monticulosa"
"37","Acropora nana"
"38","Acropora nasuta"
"39","Acropora paniculata"
"40","Acropora pharaonis"
"41","Acropora polystoma"
"42","Acropora retusa"
"43","Acropora secale"
"44","Acropora selago"
"45","Acropora solitaryensis"
"46","Acropora spicifera"
"47","Acropora tenuis"
"48","Acropora vaughani"
"49","Acropora verweyi"
"50","Acropora willisae"
"51","Aetomylaeus vespertilio"
"52","Afrixalus clarkei"
"53","Afrixalus dorsimaculatus"
"54","Afrixalus enseticola"
"55","Afrixalus morerei"
"56","Afrixalus sylvaticus"
"57","Afrixalus uluguruensis"
"58","Afrocarpus dawei"
"59","Afrocarpus usambarensis"
"60","Agapornis fischeri"
"61","Agapornis lilianae"
"62","Agapornis nigrigenis"
"63","Alopias pelagicus"
"64","Alopias superciliosus"
"65","Alopias vulpinus"
"66","Altiphrynoides malcolmi"
"67","Altiphrynoides osgoodi"
"68","Alveopora allingi"
"69","Alveopora daedalea"
"70","Alveopora fenestrata"
"71","Alveopora spongiosa"
"72","Alveopora verrilliana"
"73","Alveopora viridis"
"74","Amietia inyangae"
"75","Amietia johnstoni"
"76","Amietia tenuoplicata"
"77","Ammodorcas clarkei"
"78","Anomastraea irregularis"
"79","Anthreptes reichenowi"
"80","Anthreptes rubritorques"
"81","Anthropoides paradiseus"
"82","Anthus sokokensis"
"83","Aonyx capensis"
"84","Aonyx congicus"
"85","Apalis chariessa"
"86","Apalis flavigularis"
"87","Apalis fuscigularis"
"88","Apalis karamojae"
"89","Apalis lynesi"
"90","Aquila heliaca"
"91","Ardenna grisea"
"92","Ardeola idae"
"93","Ardeotis arabs"
"94","Ardeotis kori"
"95","Arthroleptides dutoiti"
"96","Arthroleptides martiensseni"
"97","Arthroleptides yakusini"
"98","Arthroleptis fichika"
"99","Arthroleptis francei"
"100","Arthroleptis kidogo"
"101","Arthroleptis kutogundua"
"102","Arthroleptis nguruensis"
"103","Arthroleptis nikeae"
"104","Arthroleptis tanneri"
"105","Arthroleptis troglodytes"
"106","Arthroleptis xenodactylus"
"107","Artisornis moreaui"
"108","Arvicanthis blicki"
"109","Astreopora cucullata"
"110","Astreopora expansa"
"111","Aythya nyroca"
"112","Balaeniceps rex"
"113","Balaenoptera musculus"
"114","Balaenoptera physalus"
"115","Balearica pavonina"
"116","Balearica regulorum"
"117","Balebreviceps hillmani"
"118","Bdeogale jacksoni"
"119","Bdeogale omnivora"
"120","Beatragus hunteri"
"121","Blastomussa wellsi"
"122","Bolbometopon muricatum"
"123","Boulengerula changamwensis"
"124","Boulengerula niedeni"
"125","Boulengerula taitana"
"126","Bradypterus graueri"
"127","Bucorvus leadbeateri"
"128","Bugeranus carunculatus"
"129","Bulweria fallax"
"130","Buteo oreophilus"
"131","Calidris pusilla"
"132","Calidris subruficollis"
"133","Calidris tenuirostris"
"134","Callulina dawida"
"135","Callulina hanseni"
"136","Callulina kanga"
"137","Callulina kisiwamsitu"
"138","Callulina laphami"
"139","Callulina meteora"
"140","Callulina shengena"
"141","Callulina stanleyi"
"142","Canis simensis"
"143","Capra walie"
"144","Caprimulgus solala"
"145","Caracal aurata"
"146","Carcharhinus albimarginatus"
"147","Carcharhinus amblyrhynchoides"
"148","Carcharhinus amblyrhynchos"
"149","Carcharhinus brevipinna"
"150","Carcharhinus falciformis"
"151","Carcharhinus leucas"
"152","Carcharhinus limbatus"
"153","Carcharhinus longimanus"
"154","Carcharhinus macloti"
"155","Carcharhinus melanopterus"
"156","Carcharhinus obscurus"
"157","Carcharhinus plumbeus"
"158","Carcharhinus sorrah"
"159","Carcharias taurus"
"160","Carcharodon carcharias"
"161","Caridina bunyonyiensis"
"162","Caridina gordonae"
"163","Caridina pseudonilotica"
"164","Caridina subventralis"
"165","Carpitalpa arendsi"
"166","Catalaphyllia jardinei"
"167","Caulastrea connata"
"168","Caulastrea tumida"
"169","Centroscymnus coelolepis"
"170","Cephalopholis hemistiktos"
"171","Cephalophus adersi"
"172","Cephalophus spadix"
"173","Ceratotherium simum"
"174","Cercocebus galeritus"
"175","Cercocebus sanjei"
"176","Cercopithecus hamlyni"
"177","Chaenogaleus macrostoma"
"178","Chaetodon trifascialis"
"179","Charadrius pallidus"
"180","Cheilinus undulatus"
"181","Chlorocebus djamdjamensis"
"182","Chrysoblephus anglicus"
"183","Churamiti maridadi"
"184","Circaetus beaudouini"
"185","Circaetus fasciolatus"
"186","Circus macrourus"
"187","Cisticola aberdare"
"188","Clanga clanga"
"189","Columba albinucha"
"190","Congosorex phillipsorum"
"191","Conus cuvieri"
"192","Coracias garrulus"
"193","Coscinaraea crassa"
"194","Crocidura allex"
"195","Crocidura ansellorum"
"196","Crocidura baileyi"
"197","Crocidura bottegoides"
"198","Crocidura desperata"
"199","Crocidura fumosa"
"200","Crocidura glassi"
"201","Crocidura harenna"
"202","Crocidura lanosa"
"203","Crocidura macmillani"
"204","Crocidura niobe"
"205","Crocidura phaeura"
"206","Crocidura stenocephala"
"207","Crocidura tansaniana"
"208","Crocidura tarella"
"209","Crocidura telfordi"
"210","Crocidura usambarae"
"211","Cryptospiza shelleyi"
"212","Cyanochen cyanoptera"
"213","Cymatoceps nasutus"
"214","Cynarina lacrymalis"
"215","Cyphastrea hexasepta"
"216","Dalatias licha"
"217","Dasymys montanus"
"218","Deania quadrispinosa"
"219","Deckenia imitatrix"
"220","Deckenia mitis"
"221","Delanymys brooksi"
"222","Dendrohyrax validus"
"223","Dendropicos stierlingi"
"224","Desmomys yaldeni"
"225","Diceros bicornis"
"226","Diomedea exulans"
"227","Diploastrea heliopora"
"228","Dipturus campbelli"
"229","Dorcatragus megalotis"
"230","Dugong dugon"
"231","Echinopora forskaliana"
"232","Echinopora fruticulosa"
"233","Echinopora mammiformis"
"234","Echinopora robusta"
"235","Egretta vinaceigula"
"236","Eidolon helvum"
"237","Emberiza cineracea"
"238","Encephalartos aplanatus"
"239","Encephalartos bubalinus"
"240","Encephalartos chimanimaniensis"
"241","Encephalartos concinnus"
"242","Encephalartos delucanus"
"243","Encephalartos equatorialis"
"244","Encephalartos ferox"
"245","Encephalartos gratus"
"246","Encephalartos hildebrandtii"
"247","Encephalartos kanga"
"248","Encephalartos kisambo"
"249","Encephalartos lebomboensis"
"250","Encephalartos mackenziei"
"251","Encephalartos macrostrobilus"
"252","Encephalartos manikensis"
"253","Encephalartos munchii"
"254","Encephalartos ngoyanus"
"255","Encephalartos pterogonus"
"256","Encephalartos schmitzii"
"257","Encephalartos sclavoi"
"258","Encephalartos senticosus"
"259","Encephalartos umbeluziensis"
"260","Encephalartos whitelockii"
"261","Epinephelus albomarginatus"
"262","Epinephelus andersoni"
"263","Epinephelus coioides"
"264","Epinephelus fuscoguttatus"
"265","Epinephelus gabriellae"
"266","Epinephelus lanceolatus"
"267","Epinephelus malabaricus"
"268","Epinephelus polylepis"
"269","Epinephelus polyphekadion"
"270","Equus africanus"
"271","Equus grevyi"
"272","Eremomela turneri"
"273","Ericabatrachus baleensis"
"274","Erythrastrea flabellata"
"275","Euphyllia cristata"
"276","Euphyllia glabrescens"
"277","Euplectes jacksoni"
"278","Falco cherrug"
"279","Falco concolor"
"280","Falco fasciinucha"
"281","Falco vespertinus"
"282","Favia albidus"
"283","Favia helianthoides"
"284","Favia lacuna"
"285","Favia laxa"
"286","Favia lizardensis"
"287","Favia maritima"
"288","Favia matthaii"
"289","Favia maxima"
"290","Favia rotundata"
"291","Favia stelligera"
"292","Favia veroni"
"293","Favia vietnamensis"
"294","Favites abdita"
"295","Favites acuticollis"
"296","Favites chinensis"
"297","Favites complanata"
"298","Favites flexuosa"
"299","Favites halicora"
"300","Favites micropentagona"
"301","Favites paraflexuosa"
"302","Favites russelli"
"303","Favites spinosa"
"304","Favites stylifera"
"305","Favites vasta"
"306","Ficedula semitorquata"
"307","Fukomys anselli"
"308","Fukomys kafuensis"
"309","Fungia curvata"
"310","Fungia fungites"
"311","Galaxea astreata"
"312","Galaxea fascicularis"
"313","Galeocerdo cuvier"
"314","Gallinago media"
"315","Gazella dorcas"
"316","Gazella spekei"
"317","Geronticus eremita"
"318","Glareola nordmanni"
"319","Glareola ocularis"
"320","Glaucidium albertinum"
"321","Goniastrea columella"
"322","Goniastrea deformis"
"323","Goniastrea favulus"
"324","Goniastrea minuta"
"325","Goniastrea palauensis"
"326","Goniastrea peresi"
"327","Goniastrea thecata"
"328","Goniopora albiconus"
"329","Goniopora burgosi"
"330","Goniopora columna"
"331","Goniopora lobata"
"332","Goniopora minor"
"333","Goniopora planulata"
"334","Goniopora stokesi"
"335","Goniopora tenella"
"336","Gorilla beringei"
"337","Grammomys dryas"
"338","Grammomys gigas"
"339","Grammomys minnae"
"340","Gymnura poecilura"
"341","Gypaetus barbatus"
"342","Gyps africanus"
"343","Gyps coprotheres"
"344","Gyps rueppelli"
"345","Haematopus moquini"
"346","Heliopora coerulea"
"347","Hemipristis elongata"
"348","Heptranchias perlo"
"349","Heteromirafra archeri"
"350","Heteronarce garmani"
"351","Heterotetrax humilis"
"352","Hexanchus griseus"
"353","Himantura uarnak"
"354","Hippopotamus amphibius"
"355","Hirundo atrocaerulea"
"356","Hirundo megaensis"
"357","Holohalaelurus favus"
"358","Holohalaelurus punctatus"
"359","Hoplophryne rogersi"
"360","Hoplophryne uluguruensis"
"361","Horastrea indica"
"362","Hyaena hyaena"
"363","Hybomys lunaris"
"364","Hydnophora exesa"
"365","Hydnophora microconos"
"366","Hydrictis maculicollis"
"367","Hydrobates matsudairae"
"368","Hydrobates monorhis"
"369","Hyliota usambara"
"370","Hyperolius cystocandicans"
"371","Hyperolius kihangensis"
"372","Hyperolius minutissimus"
"373","Hyperolius puncticulatus"
"374","Hyperolius rubrovermiculatus"
"375","Hyperolius tanneri"
"376","Hyperolius watsonae"
"377","Hypogaleus hyugaensis"
"378","Indicator pumilio"
"379","Isopora brueggemanni"
"380","Isopora crateriformis"
"381","Isopora cuneata"
"382","Isopora palifera"
"383","Isurus oxyrinchus"
"384","Isurus paucus"
"385","Kajikia audax"
"386","Kassina jozani"
"387","Kerivoula africana"
"388","Kinyongia asheorum"
"389","Kinyongia boehmei"
"390","Kinyongia carpenteri"
"391","Kinyongia excubitor"
