"","Threat","Count"
"10","Fishing & harvesting aquatic resources",349
"15","Housing & urban areas",334
"3","Annual & perennial non-timber crops",307
"18","Invasive non-native/alien species",268
"1","Agricultural & forestry effluents",258
"20","Logging & wood harvesting",232
"28","Recreational activities",230
"17","Industrial & military effluents",222
"34","Tourism & recreation areas",219
"6","Domestic & urban waste water",214
"4","Commercial & industrial areas",212
"33","Temperature extremes",209
"31","Shipping lanes",207
"32","Storms & flooding",207
"2","Air-borne pollutants",202
"16","Hunting & trapping terrestrial animals",164
"19","Livestock farming & ranching",136
"9","Fire & fire suppression",68
"14","Habitat shifting & alteration",56
"38","Wood & pulp plantations",52
"5","Dams & water management/use",45
"22","Mining & quarrying",36
"13","Gathering terrestrial plants",35
"39","Work & other activities",32
"27","Problematic native species",30
"7","Droughts",28
"37","War Civil Unrest & Military Exercises",26
"24","Other ecosystem modifications",23
"30","Roads & railroads",20
"35","Utility & service lines",17
"23","Oil & gas drilling",9
"29","Renewable energy",8
"21","Marine & freshwater aquaculture",5
"8","Excess energy",3
"12","Garbage & solid waste",3
"25","Other impacts",3
"11","Flight paths",1
"26","Other threat",1
"36","Volcanoes",1
