"","Threat","Count","Rank"
"3","Annual & perennial non-timber crops",579,1
"11","Fishing & harvesting aquatic resources",490,2
"16","Housing & urban areas",486,3
"21","Logging & wood harvesting",448,4
"19","Invasive non-native/alien species",343,5
"1","Agricultural & forestry effluents",305,6
"18","Industrial & military effluents",257,7
"7","Domestic & urban waste water",256,8
"29","Recreational activities",251,9
"17","Hunting & trapping terrestrial animals",250,10
"35","Tourism & recreation areas",248,11
"5","Commercial & industrial areas",236,12
"20","Livestock farming & ranching",228,13
"34","Temperature extremes",220,14
"33","Storms & flooding",216,15
"32","Shipping lanes",213,16
"2","Air-borne pollutants",204,17
"10","Fire & fire suppression",118,18
"15","Habitat shifting & alteration",100,19
"39","Wood & pulp plantations",88,20
"23","Mining & quarrying",85,21
"14","Gathering terrestrial plants",75,22
"6","Dams & water management/use",63,23
"28","Problematic native species",50,24
"38","War Civil Unrest & Military Exercises",43,25
"40","Work & other activities",43,25
"8","Droughts",41,27
"31","Roads & railroads",38,28
"25","Other ecosystem modifications",30,29
"36","Utility & service lines",24,30
"24","Oil & gas drilling",18,31
"30","Renewable energy",15,32
"13","Garbage & solid waste",14,33
"22","Marine & freshwater aquaculture",10,34
"26","Other impacts",6,35
"9","Excess energy",4,36
"37","Volcanoes",4,36
"4","Avalanches/landslides",1,38
"12","Flight paths",1,38
"27","Other threat",1,38
