"","Threat","Count"
"3","Annual & perennial non-timber crops",579
"11","Fishing & harvesting aquatic resources",490
"16","Housing & urban areas",486
"21","Logging & wood harvesting",448
"19","Invasive non-native/alien species",343
"1","Agricultural & forestry effluents",305
"18","Industrial & military effluents",257
"7","Domestic & urban waste water",256
"29","Recreational activities",251
"17","Hunting & trapping terrestrial animals",250
"35","Tourism & recreation areas",248
"5","Commercial & industrial areas",236
"20","Livestock farming & ranching",228
"34","Temperature extremes",220
"33","Storms & flooding",216
"32","Shipping lanes",213
"2","Air-borne pollutants",204
"10","Fire & fire suppression",118
"15","Habitat shifting & alteration",100
"39","Wood & pulp plantations",88
"23","Mining & quarrying",85
"14","Gathering terrestrial plants",75
"6","Dams & water management/use",63
"28","Problematic native species",50
"38","War Civil Unrest & Military Exercises",43
"40","Work & other activities",43
"8","Droughts",41
"31","Roads & railroads",38
"25","Other ecosystem modifications",30
"36","Utility & service lines",24
"24","Oil & gas drilling",18
"30","Renewable energy",15
"13","Garbage & solid waste",14
"22","Marine & freshwater aquaculture",10
"26","Other impacts",6
"9","Excess energy",4
"37","Volcanoes",4
"4","Avalanches/landslides",1
"12","Flight paths",1
"27","Other threat",1
