"","Species"
"1","Acanthopagrus vagus"
"2","Acinonyx jubatus"
"3","Acrocephalus griseldis"
"4","Acropora anthocercis"
"5","Acropora appressa"
"6","Acropora austera"
"7","Acropora digitifera"
"8","Acropora divaricata"
"9","Acropora florida"
"10","Acropora formosa"
"11","Acropora glauca"
"12","Acropora horrida"
"13","Acropora humilis"
"14","Acropora hyacinthus"
"15","Acropora millepora"
"16","Acropora monticulosa"
"17","Acropora nana"
"18","Acropora nasuta"
"19","Acropora retusa"
"20","Acropora secale"
"21","Acropora tenuis"
"22","Acropora verweyi"
"23","Acropora willisae"
"24","Aetobatus narinari"
"25","Afrixalus knysnae"
"26","Afrixalus spinifrons"
"27","Afrotis afra"
"28","Agapornis lilianae"
"29","Alopias pelagicus"
"30","Alopias superciliosus"
"31","Alopias vulpinus"
"32","Alveopora allingi"
"33","Alveopora spongiosa"
"34","Amblysomus corriae"
"35","Amblysomus marleyi"
"36","Amblysomus robustus"
"37","Amblysomus septentrionalis"
"38","Amietia vertebralis"
"39","Anhydrophryne ngongoniensis"
"40","Anhydrophryne rattrayi"
"41","Anomastraea irregularis"
"42","Anthreptes reichenowi"
"43","Anthropoides paradiseus"
"44","Aonyx capensis"
"45","Ardenna grisea"
"46","Ardeotis kori"
"47","Argyrozona argyrozona"
"48","Arothron inconditus"
"49","Arthroleptella drewesii"
"50","Arthroleptella landdrosia"
"51","Arthroleptella lightfooti"
"52","Arthroleptella rugosa"
"53","Arthroleptella subvoce"
"54","Balaenoptera borealis"
"55","Balaenoptera musculus"
"56","Balaenoptera physalus"
"57","Balearica regulorum"
"58","Bradypodion caffer"
"59","Bradypodion taeniabronchum"
"60","Bradypterus sylvaticus"
"61","Breviceps bagginsi"
"62","Breviceps gibbosus"
"63","Breviceps macrops"
"64","Breviceps sylvestris"
"65","Bucorvus leadbeateri"
"66","Bugeranus carunculatus"
"67","Bunolagus monticularis"
"68","Cacosternum capense"
"69","Calidris subruficollis"
"70","Campethera notata"
"71","Capensibufo rosei"
"72","Carcharhinus albimarginatus"
"73","Carcharhinus amblyrhynchos"
"74","Carcharhinus brachyurus"
"75","Carcharhinus brevipinna"
"76","Carcharhinus leucas"
"77","Carcharhinus limbatus"
"78","Carcharhinus longimanus"
"79","Carcharhinus melanopterus"
"80","Carcharhinus obscurus"
"81","Carcharhinus plumbeus"
"82","Carcharhinus sorrah"
"83","Carcharias taurus"
"84","Carcharodon carcharias"
"85","Centrophorus squamosus"
"86","Centroscymnus coelolepis"
"87","Ceratotherium simum"
"88","Cetorhinus maximus"
"89","Chaetodon trifascialis"
"90","Charadrius pallidus"
"91","Chelonodon pleurospilus"
"92","Chlorotalpa duthieae"
"93","Chrysoblephus anglicus"
"94","Chrysoblephus cristiceps"
"95","Chrysoblephus gibbiceps"
"96","Chrysoblephus laticeps"
"97","Chrysospalax trevelyani"
"98","Chrysospalax villosus"
"99","Circaetus fasciolatus"
"100","Circus macrourus"
"101","Circus maurus"
"102","Clanga clanga"
"103","Clinus latipennis"
"104","Clinus spatulatus"
"105","Conus immelmani"
"106","Coracias garrulus"
"107","Cryptochloris wintoni"
"108","Cryptochloris zyli"
"109","Cymatoceps nasutus"
"110","Dalatias licha"
"111","Deania quadrispinosa"
"112","Diceros bicornis"
"113","Diomedea dabbenena"
"114","Diomedea epomophora"
"115","Diomedea exulans"
"116","Diomedea sanfordi"
"117","Dipturus campbelli"
"118","Egretta vinaceigula"
"119","Eidolon helvum"
"120","Electrolux addisoni"
"121","Encephalartos aemulans"
"122","Encephalartos altensteinii"
"123","Encephalartos aplanatus"
"124","Encephalartos arenarius"
"125","Encephalartos caffer"
"126","Encephalartos cerinus"
"127","Encephalartos cupidus"
"128","Encephalartos dolomiticus"
"129","Encephalartos dyerianus"
"130","Encephalartos eugene-maraisii"
"131","Encephalartos ferox"
"132","Encephalartos friderici-guilielmi"
"133","Encephalartos ghellinckii"
"134","Encephalartos heenanii"
"135","Encephalartos horridus"
"136","Encephalartos humilis"
"137","Encephalartos inopinus"
"138","Encephalartos laevifolius"
"139","Encephalartos lanatus"
"140","Encephalartos latifrons"
"141","Encephalartos lebomboensis"
"142","Encephalartos lehmannii"
"143","Encephalartos longifolius"
"144","Encephalartos middelburgensis"
"145","Encephalartos msinganus"
"146","Encephalartos natalensis"
"147","Encephalartos ngoyanus"
"148","Encephalartos paucidentatus"
"149","Encephalartos princeps"
"150","Encephalartos senticosus"
"151","Encephalartos trispinosus"
"152","Encephalartos umbeluziensis"
"153","Epinephelus albomarginatus"
"154","Epinephelus andersoni"
"155","Epinephelus coioides"
"156","Epinephelus lanceolatus"
"157","Epinephelus malabaricus"
"158","Epinephelus marginatus"
"159","Epomophorus angolensis"
"160","Equus zebra"
"161","Eudyptes chrysocome"
"162","Eudyptes chrysolophus"
"163","Eudyptes moseleyi"
"164","Eupodotis caerulescens"
"165","Falco concolor"
"166","Falco fasciinucha"
"167","Falco vespertinus"
"168","Favia matthaii"
"169","Favia stelligera"
"170","Favites abdita"
"171","Favites flexuosa"
"172","Favites halicora"
"173","Felis nigripes"
"174","Galeocerdo cuvier"
"175","Galeorhinus galeus"
"176","Gallinago media"
"177","Geronticus calvus"
"178","Glareola nordmanni"
"179","Goniastrea columella"
"180","Goniastrea peresi"
"181","Gypaetus barbatus"
"182","Gyps africanus"
"183","Gyps coprotheres"
"184","Gyps rueppelli"
"185","Haematopus moquini"
"186","Haploblepharus edwardsii"
"187","Haploblepharus fuscus"
"188","Haploblepharus kistnasamyi"
"189","Heleophryne hewitti"
"190","Heleophryne rosei"
"191","Heliopora coerulea"
"192","Hemipristis elongata"
"193","Hemisus guttatus"
"194","Hemitragus jemlahicus"
"195","Heptranchias perlo"
"196","Heteromirafra ruddi"
"197","Heteronarce garmani"
"198","Hexanchus griseus"
"199","Himantura uarnak"
"200","Hippopotamus amphibius"
"201","Hirundo atrocaerulea"
"202","Holohalaelurus favus"
"203","Holohalaelurus punctatus"
"204","Hydnophora exesa"
"205","Hydnophora microconos"
"206","Hydrictis maculicollis"
"207","Hydrolagus mirabilis"
"208","Hyperolius pickersgilli"
"209","Hypogaleus hyugaensis"
"210","Isopora palifera"
"211","Isurus oxyrinchus"
"212","Isurus paucus"
"213","Kajikia albida"
"214","Kajikia audax"
"215","Kobus vardonii"
"216","Lamna nasus"
"217","Leptopelis xenodactylus"
"218","Limosa limosa"
"219","Lithognathus aureti"
"220","Lithognathus lithognathus"
"221","Loxodonta africana"
"222","Lycaon pictus"
"223","Makaira nigricans"
"224","Megalops atlanticus"
"225","Microbatrachella capensis"
"226","Microcarbo coronatus"
"227","Mirafra cheniana"
"228","Mobula mobular"
"229","Mobula thurstoni"
"230","Montastrea annuligera"
"231","Morus capensis"
"232","Mustelus mustelus"
"233","Myosorex longicaudatus"
"234","Myosorex sclateri"
"235","Mystromys albicaudatus"
"236","Natalobatrachus bonebergi"
"237","Neamblysomus gunningi"
"238","Neamblysomus julianae"
"239","Nebrius ferrugineus"
"240","Necrosyrtes monachus"
"241","Negaprion acutidens"
"242","Neophron percnopterus"
"243","Neotis denhami"
"244","Neotis ludwigii"
"245","Numenius arquata"
"246","Odontaspis ferox"
"247","Oryctolagus cuniculus"
"248","Otomops martiensseni"
"249","Oulophyllia crispa"
"250","Oxynotus centrina"
"251","Oxyura maccoa"
"252","Pachymetopon grande"
"253","Panthera leo"
"254","Panthera pardus"
"255","Parahyaena brunnea"
"256","Petrus rupestris"
"257","Phalacrocorax capensis"
"258","Phalacrocorax neglectus"
"259","Phoebetria fusca"
"260","Phoebetria palpebrata"
"261","Phoeniconaias minor"
"262","Physeter macrocephalus"
"263","Platygyra crosslandi"
"264","Plectropomus laevis"
"265","Pliotrema warreni"
"266","Pocillopora eydouxi"
"267","Podocarpus henkelii"
"268","Polemaetus bellicosus"
"269","Polysteganus praeorbitalis"
"270","Polysteganus undulosus"
"271","Poroderma africanum"
"272","Potamonautes lividus"
"273","Poyntonia paludicola"
"274","Prionace glauca"
"275","Pristis pristis"
"276","Pristis zijsron"
"277","Procellaria aequinoctialis"
"278","Procellaria cinerea"
"279","Procellaria conspicillata"
"280","Pseudocarcharias kamoharai"
"281","Pterodroma baraui"
"282","Pterodroma incerta"
"283","Pygoscelis papua"
"284","Rajella caudaspinosa"
"285","Rhabdosargus globiceps"
"286","Rhina ancylostoma"
"287","Rhincodon typus"
"288","Rhinobatos rhinobatos"
"289","Rhynchobatus djiddensis"
"290","Rostroraja alba"
"291","Rusa unicolor"
"292","Rynchops flavirostris"
"293","Sagittarius serpentarius"
"294","Sarothrura ayresi"
"295","Scomberomorus commerson"
"296","Scyliorhinus capensis"
"297","Scylliogaleus quecketti"
"298","Smutsia temminckii"
"299","Sparodon durbanensis"
"300","Spheniscus demersus"
"301","Sphyrna lewini"
"302","Sphyrna mokarran"
"303","Sphyrna zygaena"
"304","Spizocorys fringillaris"
"305","Spizocorys sclateri"
"306","Squalus acanthias"
"307","Stangeria eriopus"
"308","Stephanoaetus coronatus"
"309","Sterna virgata"
"310","Sternula balaenarum"
"311","Taeniura lymma"
"312","Taeniurops meyeni"
"313","Terathopius ecaudatus"
"314","Thalassarche bulleri"
"315","Thalassarche carteri"
"316","Thalassarche cauta"
"317","Thalassarche chlororhynchos"
"318","Thalassarche chrysostoma"
"319","Thalassarche melanophris"
"320","Thalassarche salvini"
"321","Thalassarche steadi"
"322","Thunnus alalunga"
"323","Thunnus albacares"
"324","Thunnus maccoyii"
"325","Thunnus obesus"
"326","Thunnus thynnus"
"327","Torgos tracheliotos"
"328","Triaenodon obesus"
"329","Triakis megalopterus"
"330","Trigonoceps occipitalis"
"331","Turbinaria mesenterina"
"332","Turnix hottentottus"
"333","Urogymnus asperrimus"
"334","Vandijkophrynus amatolicus"
"335","Widdringtonia cedarbergensis"
"336","Widdringtonia schwarzii"
"337","Xenopus gilli"
"338","Zostera capensis"
