"","Threat","Count","Rank"
"11","Fishing & harvesting aquatic resources",240,1
"19","Invasive non-native/alien species",129,2
"16","Housing & urban areas",108,3
"17","Hunting & trapping terrestrial animals",93,4
"3","Annual & perennial non-timber crops",89,5
"1","Agricultural & forestry effluents",88,6
"34","Tourism & recreation areas",69,7
"28","Recreational activities",68,8
"20","Livestock farming & ranching",66,9
"5","Commercial & industrial areas",65,10
"18","Industrial & military effluents",58,11
"7","Domestic & urban waste water",57,12
"33","Temperature extremes",51,13
"32","Storms & flooding",50,14
"31","Shipping lanes",47,15
"38","Wood & pulp plantations",42,16
"2","Air-borne pollutants",41,17
"10","Fire & fire suppression",40,18
"6","Dams & water management/use",37,19
"14","Gathering terrestrial plants",37,19
"15","Habitat shifting & alteration",37,19
"21","Logging & wood harvesting",30,22
"23","Mining & quarrying",27,23
"27","Problematic native species",22,24
"39","Work & other activities",20,25
"30","Roads & railroads",18,26
"25","Other ecosystem modifications",15,27
"35","Utility & service lines",14,28
"37","War Civil Unrest & Military Exercises",11,29
"8","Droughts",10,30
"29","Renewable energy",10,30
"24","Oil & gas drilling",9,32
"22","Marine & freshwater aquaculture",6,33
"13","Garbage & solid waste",5,34
"26","Other impacts",4,35
"9","Excess energy",3,36
"4","Avalanches/landslides",1,37
"12","Flight paths",1,37
"36","Volcanoes",1,37
