"","Threat","Count"
"11","Fishing & harvesting aquatic resources",240
"19","Invasive non-native/alien species",129
"16","Housing & urban areas",108
"17","Hunting & trapping terrestrial animals",93
"3","Annual & perennial non-timber crops",89
"1","Agricultural & forestry effluents",88
"34","Tourism & recreation areas",69
"28","Recreational activities",68
"20","Livestock farming & ranching",66
"5","Commercial & industrial areas",65
"18","Industrial & military effluents",58
"7","Domestic & urban waste water",57
"33","Temperature extremes",51
"32","Storms & flooding",50
"31","Shipping lanes",47
"38","Wood & pulp plantations",42
"2","Air-borne pollutants",41
"10","Fire & fire suppression",40
"6","Dams & water management/use",37
"14","Gathering terrestrial plants",37
"15","Habitat shifting & alteration",37
"21","Logging & wood harvesting",30
"23","Mining & quarrying",27
"27","Problematic native species",22
"39","Work & other activities",20
"30","Roads & railroads",18
"25","Other ecosystem modifications",15
"35","Utility & service lines",14
"37","War Civil Unrest & Military Exercises",11
"8","Droughts",10
"29","Renewable energy",10
"24","Oil & gas drilling",9
"22","Marine & freshwater aquaculture",6
"13","Garbage & solid waste",5
"26","Other impacts",4
"9","Excess energy",3
"4","Avalanches/landslides",1
"12","Flight paths",1
"36","Volcanoes",1
