"","Species"
"1","Acanthixalus sonjae"
"2","Acinonyx jubatus"
"3","Acrocephalus paludicola"
"4","Addax nasomaculatus"
"5","Aetobatus narinari"
"6","Afrithelphusa monodosa"
"7","Afrixalus nigeriensis"
"8","Afrixalus vibekensis"
"9","Agelastes meleagrides"
"10","Alopias superciliosus"
"11","Alopias vulpinus"
"12","Ammotragus lervia"
"13","Aonyx capensis"
"14","Aquila adalberti"
"15","Aquila heliaca"
"16","Ardenna grisea"
"17","Ardeotis arabs"
"18","Arthroleptis aureoli"
"19","Arthroleptis crusculum"
"20","Arthroleptis krokosua"
"21","Astylosternus diadematus"
"22","Astylosternus laticephalus"
"23","Astylosternus montanus"
"24","Aythya nyroca"
"25","Balaenoptera borealis"
"26","Balaenoptera musculus"
"27","Balearica pavonina"
"28","Bathmocercus cerviniventris"
"29","Bleda eximius"
"30","Bradypterus bangwaensis"
"31","Bubo shelleyi"
"32","Bugeranus carunculatus"
"33","Bycanistes cylindricus"
"34","Calidris pusilla"
"35","Calidris subruficollis"
"36","Calonectris edwardsii"
"37","Caracal aurata"
"38","Carcharhinus brachyurus"
"39","Carcharhinus brevipinna"
"40","Carcharhinus falciformis"
"41","Carcharhinus leucas"
"42","Carcharhinus limbatus"
"43","Carcharhinus longimanus"
"44","Carcharhinus obscurus"
"45","Carcharhinus plumbeus"
"46","Carcharhinus signatus"
"47","Carcharias taurus"
"48","Carcharodon carcharias"
"49","Cardioglossa melanogaster"
"50","Cardioglossa nigromaculata"
"51","Cardioglossa pulchra"
"52","Cardioglossa schioetzi"
"53","Centrophorus squamosus"
"54","Centroscymnus coelolepis"
"55","Cephalophus jentinki"
"56","Cephalophus zebra"
"57","Ceratogymna elata"
"58","Cercocebus atys"
"59","Cercocebus torquatus"
"60","Cercopithecus diana"
"61","Cercopithecus erythrogaster"
"62","Cercopithecus erythrotis"
"63","Cercopithecus sclateri"
"64","Cetorhinus maximus"
"65","Chimaera monstrosa"
"66","Chlamydoselachus anguineus"
"67","Chlamydotis undulata"
"68","Choeropsis liberiensis"
"69","Circaetus beaudouini"
"70","Circus macrourus"
"71","Clanga clanga"
"72","Colobus polykomos"
"73","Colobus vellerosus"
"74","Conraua alleni"
"75","Conraua derooi"
"76","Conraua robusta"
"77","Conus belairensis"
"78","Conus bruguieresi"
"79","Conus cacao"
"80","Conus cloveri"
