"","spScName"
"1","Ablennes hians"
"2","Abrus fruticulosus"
"3","Abudefduf hoefleri"
"4","Abudefduf saxatilis"
"5","Abudefduf taurus"
"6","Abyssobrotula galatheae"
"7","Acalypha crenata"
"8","Acantharctus posteli"
"9","Acanthodactylus boueti"
"10","Acantholabrus palloni"
"11","Acanthonus armatus"
"12","Acanthostracion guineensis"
"13","Acanthurus monroviae"
"14","Acanthus montanus"
"15","Accipiter badius"
"16","Accipiter erythropus"
"17","Accipiter melanoleucus"
"18","Accipiter ovampensis"
"19","Accipiter toussenelii"
"20","Aciagrion gracile"
"21","Acinonyx jubatus"
"22","Acisoma inflatum"
"23","Acisoma trifidum"
"24","Acleros mackenii"
"25","Acmella uliginosa"
"26","Acomys johannis"
"27","Acraea neobule"
"28","Acraea neobule ssp. neobule"
"29","Acridocarpus spectabilis"
"30","Acrocephalus arundinaceus"
"31","Acrocephalus rufescens"
"32","Acrocephalus schoenobaenus"
"33","Acrocephalus scirpaceus"
"34","Acroceras amplectens"
"35","Acroceras zizanioides"
"36","Acrostichum aureum"
"37","Acrostichum danaeifolium"
"38","Acrotylus patruelis"
"39","Actitis hypoleucos"
"40","Actizera lucida"
"41","Actophilornis africanus"
"42","Adenium obesum"
"43","Adenostemma caffrum"
"44","Aedesia glabra"
"45","Aeschynomene afraspera"
"46","Aeschynomene crassicaulis"
"47","Aeschynomene elaphroxylon"
"48","Aeschynomene indica"
"49","Aeschynomene kerstingii"
"50","Aeschynomene nilotica"
"51","Aeschynomene schimperi"
"52","Aeschynomene tambacoundensis"
"53","Aeschynomene uniflora"
"54","Aethriamanta rezia"
"55","Aetobatus narinari"
"56","Aetomylaeus bovinus"
"57","Aframomum alboviolaceum"
"58","Aframomum angustifolium"
"59","Aframomum melegueta"
"60","Aframomum sceptrum"
"61","Africallagma subtile"
"62","Africanogyrus coretus"
"63","Afrixalus vittiger"
"64","Afrixalus weidholzi"
"65","Afrololigo mercatoris"
"66","Afronatrix anoscopus"
"67","Afrotridactylus usambaricus"
"68","Afrotyphlops punctatus"
"69","Afzelia africana"
"70","Agama agama"
"71","Agama gracilimembris"
"72","Agama parafricana"
"73","Agama paragama"
"74","Agama picticauda"
"75","Agama sankaranica"
"76","Aganope stuhlmannii"
"77","Agapornis pullarius"
"78","Agricola pallidus"
"79","Agriocnemis exilis"
"80","Agriocnemis maclachlani"
"81","Agriocnemis zerafica"
"82","Ahliesaurus berryi"
"83","Aidia genipiflora"
"84","Albizia adianthifolia"
"85","Albizia altissima"
"86","Albizia chevalieri"
"87","Albizia coriaria"
"88","Albizia ferruginea"
"89","Albizia glaberrima"
"90","Albizia gummifera"
"91","Albizia lebbeck"
"92","Albizia zygia"
"93","Alcedo quadribrachys"
"94","Alcelaphus buselaphus"
"95","Alcelaphus buselaphus ssp. major"
"96","Alchornea cordifolia"
"97","Aldrovandia gracilis"
"98","Alectis alexandrina"
"99","Alectis ciliaris"
"100","Alepocephalus australis"
"101","Alepocephalus rostratus"
"102","Alexandrinus krameri"
"103","Allanblackia floribunda"
"104","Allocnemis elongata"
"105","Allocnemis subnodalis"
"106","Allocyttus guineensis"
"107","Allophylus africanus"
"108","Alloteropsis paniculata"
"109","Alloteuthis africana"
