"","Threat","Count","Rank"
"10","Fishing & harvesting aquatic resources",176,1
"3","Annual & perennial non-timber crops",174,2
"20","Logging & wood harvesting",139,3
"16","Hunting & trapping terrestrial animals",114,4
"15","Housing & urban areas",88,5
"19","Livestock farming & ranching",54,6
"1","Agricultural & forestry effluents",51,7
"22","Mining & quarrying",42,8
"17","Industrial & military effluents",32,9
"18","Invasive non-native/alien species",30,10
"5","Dams & water management/use",29,11
"6","Domestic & urban waste water",26,12
"26","Recreational activities",25,13
"34","War Civil Unrest & Military Exercises",24,14
"25","Problematic native species",22,15
"36","Work & other activities",22,15
"14","Habitat shifting & alteration",19,17
"32","Tourism & recreation areas",18,18
"7","Droughts",17,19
"23","Oil & gas drilling",16,20
"35","Wood & pulp plantations",16,20
"9","Fire & fire suppression",15,22
"4","Commercial & industrial areas",14,23
"24","Other ecosystem modifications",14,23
"28","Roads & railroads",13,25
"33","Utility & service lines",13,25
"27","Renewable energy",11,27
"12","Garbage & solid waste",10,28
"29","Shipping lanes",10,28
"13","Gathering terrestrial plants",8,30
"31","Temperature extremes",8,30
"21","Marine & freshwater aquaculture",5,32
"30","Storms & flooding",5,32
"8","Excess energy",3,34
"2","Air-borne pollutants",1,35
"11","Flight paths",1,35
