"","Threat","Count"
"10","Fishing & harvesting aquatic resources",176
"3","Annual & perennial non-timber crops",174
"20","Logging & wood harvesting",139
"16","Hunting & trapping terrestrial animals",114
"15","Housing & urban areas",88
"19","Livestock farming & ranching",54
"1","Agricultural & forestry effluents",51
"22","Mining & quarrying",42
"17","Industrial & military effluents",32
"18","Invasive non-native/alien species",30
"5","Dams & water management/use",29
"6","Domestic & urban waste water",26
"26","Recreational activities",25
"34","War Civil Unrest & Military Exercises",24
"25","Problematic native species",22
"36","Work & other activities",22
"14","Habitat shifting & alteration",19
"32","Tourism & recreation areas",18
"7","Droughts",17
"23","Oil & gas drilling",16
"35","Wood & pulp plantations",16
"9","Fire & fire suppression",15
"4","Commercial & industrial areas",14
"24","Other ecosystem modifications",14
"28","Roads & railroads",13
"33","Utility & service lines",13
"27","Renewable energy",11
"12","Garbage & solid waste",10
"29","Shipping lanes",10
"13","Gathering terrestrial plants",8
"31","Temperature extremes",8
"21","Marine & freshwater aquaculture",5
"30","Storms & flooding",5
"8","Excess energy",3
"2","Air-borne pollutants",1
"11","Flight paths",1
